"Aktionstheke:Zudeln,Gemüse-SpaghettimitgebratenemSesam-Halloumi","5,7","7,7","9,1",29.08.2022,False
"Blumenkohl-Käse-Medaillon,Kräutersoße,Butterkartoffeln,1Gurkensalatoder1Schokoladenpudding","2,4","4,4","5,8",30.08.2022,False
"BuntesBratwurstragout,KartoffelpüreemitRöstzwiebeln","3,1","5,1","6,5",30.08.2022,False
RoteBeteGnocchi-PfannemitgrünemGemüseundBärlauchundgeröstetenSonnenblumenkernen,"3,6","5,6",7,30.08.2022,True
Aktionstheke:GeschwenktePimientosdePadrónmitKirschtomatendazuSüßkartoffel-Spalten,"5,3","7,3","8,7",30.08.2022,True
"ReinpflanzlicheGemüseschnitte,BrokkolisoßeaufSojaBasis,Kartoffel-Chips","1,85","3,85","5,25",31.08.2022,True
"mensaInternational-Finnland:SpinatsuppemitgekochtemEi,Knäckebrot","2,1","4,1","5,5",31.08.2022,False
"PutengyrosausAltengönna,Pommesfrites,Tsatsiki,1Krautsalatoder1Kokos-Joghurt","4,5","6,5","7,9",31.08.2022,False
"Aktionstheke:Zudeln,Gemüse-SpaghettimitgebratenemSesam-Halloumi","5,7","7,7","9,1",31.08.2022,False
mensaVital:Tomaten-Chili-Knoblauch-SpaghettipfannemitTofu,"1,85","3,85","5,25",01.09.2022,True
mensaRegional:FeinesGeflügelfrikasseemitPuteausAltengönnaanLangkornreis,"3,1","5,1","6,5",01.09.2022,False
"Champignontasche,Käsesoße,Kräuterkartoffeln,1Tomatensalatoder1JoghurtmitKokos","3,1","5,1","6,5",01.09.2022,False
Aktionstheke:GeschwenktePimientosdePadrónmitKirschtomatendazuSüßkartoffel-Spalten,"5,3","7,3","8,7",01.09.2022,True
mensaVital:Süßkartoffel-Soja-CurrymitTomatenbulgur,"2,1","4,1","5,5",02.09.2022,True
"Brokkoli-NuggetsmitSahnequark,Petersilienkartoffeln","2,7","4,7","6,1",02.09.2022,False
"mensaRegional:HausgemachteLasagne,BolognesevonderPuteausAltengönna,1Kirschjoghurtoder1Wassermeloneoder1Chinakohlsalat","4,1","6,1","7,5",02.09.2022,False
"Aktionstheke:Zudeln,Gemüse-SpaghettimitgebratenemSesam-Halloumi","5,7","7,7","9,1",02.09.2022,False
mensaVital:GabelspaghettimitfeurigemTomaten-Mango-Belugalinsenragout,"1,6","3,6",5,05.09.2022,True
"ZweiRoteBetePuffer,Bärlauchsoße,Kartoffelpüree,1KopfsalatmitKräuternoder1AnanasSojaShake","3,1","5,1","6,5",05.09.2022,True
GeschmorteWeißkrautpfannemitSchweinefleischstreifendazuPetersilienkartoffeln,"3,6","5,6",7,05.09.2022,False
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,05.09.2022,False
mensaVital:TofusteakmitSpinat-Tomaten-Kokos-GemüseundKurkumareis,"1,6","3,6",5,06.09.2022,True
